StorageLocation,Item,UofM,Qty,UofM2,Qty2,UofM3,Qty3
CORDIALS Taco Shop,CORDIALS Schnapps Sour Apple,Bottle (1 Litre),4.8,,,,
CORDIALS Taco Shop,CORDIALS Vermouth Dry,Bottle (1 Litre),0.8,Bottle (750 ML),0,,
CORDIALS Taco Shop,CORDIALS Vermouth Rosso/Rouge,Bottle (1 Litre),1.2,Bottle - 750 ML,0,Bottle (1.5 Litre),0
GIN Taco Shop,GIN Bombay Dry Gin,Bottle (1 Litre),1.6,Bottle (1.75 Litre),0,,
GIN Taco Shop,GIN Bombay Sapphire,Bottle (1 Litre),2.2,Bottle (750 ML),0,Bottle (1.75 Litre),0
GIN Taco Shop,GIN Harry Blus,Bottle (750 ML),2.7,,,,
GIN Taco Shop,GIN Hendricks,Bottle (1 Litre),1.4,Bottle - 750 ML,0,,
GIN Taco Shop,GIN House,Bottle (1 Litre),1.4,Bottle (750 ML),0,,
GIN Taco Shop,GIN Tanqueray,Bottle (1 Litre),2.2,,,,
RUM Taco Shop,RUM Piras 51 Cachaca,Bottle (1 Litre),1.7,,,,
RUM Taco Shop,RUM Bacardi 10 Yr,Bottle (750 ML),1.9,,,,
RUM Taco Shop,RUM Bacardi Anejo 4 Yr,Bottle (750 ML),0,Bottle (1 Litre),2.2,,
RUM Taco Shop,RUM Bacardi Superior,Bottle (1 Litre),6.8,Bottle (1.75 Litre),0,Bottle - 750 ML,0
RUM Taco Shop,RUM Brugal 1888,Bottle (750 ML),1.5,,,,
RUM Taco Shop,RUM Captain Morgan Spiced,Bottle (1 Litre),1.5,,,,
RUM Taco Shop,RUM Castillo Gold,Bottle (1 Litre),0,,,,
RUM Taco Shop,RUM Coconut Cartel,Bottle (750 ML),2.5,,,,
RUM Taco Shop,RUM Copalli Cacao,Bottle (750 ML),1.7,,,,
RUM Taco Shop,RUM Flor De Cana 4Yr Anejo Oro,Bottle (1 Litre),2.2,,,,
RUM Taco Shop,RUM House,Bottle (1 Litre),0,Bottle (750 ML),0,,
RUM Taco Shop,RUM Leblon Cachaca,Bottle (1 Litre),0,Bottle (750 ML),0,,
RUM Taco Shop,RUM Malibu Coconut,Bottle (750 ML),0,Bottle (1 Litre),3.4,,
RUM Taco Shop,RUM Plantation Pineapple,Bottle (1 Litre),0,Bottle (750 ML),1.5,,
RUM Taco Shop,RUM Sailor Jerry Spiced Rum,Bottle (1 Litre),0,Bottle - 750 ML,0.6,Bottle (1.75 Litre),0
RUM Taco Shop,RUM Santa Teresa 1796,Bottle (750 ML),1.3,Bottle (1 Litre),0,,
RUM Taco Shop,RUM Zacapa Rum Cent 23Yr,Bottle (750 ML),1.2,Bottle (1 Litre),0,,
RUM Taco Shop,RUM Bacardi Coco,Bottle (1 Litre),9.6,Bottle (750 ML),0,,
